,open_time,liquidation_long,liquidation_short,oi,top_ls_account,top_ls_position,global_ls_account,buy_sell_ratio,closeprice,mark_closeprice,volume,number
1024,1645851600,0,702303,2701493053,1.2173,1.0937,1.1645,0.7968,39250.6,39250.6,3737.76,42254.0
1025,1645853400,0,1771971,2693387280,1.209,1.0926,1.1478,0.9372,39009.7,39018.0,6715.717,71359.0
1026,1645855200,0,0,2671784863,1.1901,1.0958,1.1061,1.4011,39133.2,39133.2,4068.816,45057.0
1027,1645857000,0,0,2687953809,1.2198,1.0984,1.1492,0.9798,39123.9,39116.60739693,2553.713,30311.0
1028,1645858800,0,91803,2691739202,1.2168,1.0974,1.1487,0.8744,39090.9,39091.4,4784.801,50705.0
1029,1645860600,0,0,2691688501,1.209,1.0974,1.1299,1.3312,39199.8,39189.7,2833.741,36367.0
1030,1645862400,0,0,2706504248,1.2168,1.0981,1.1436,1.1774,39316.3,39321.02419344,8674.992,81834.0
1031,1645864200,0,1002252,2717055876,1.2202,1.0975,1.1786,0.6778,38772.4,38770.0,15018.925,138111.0
1032,1645866000,0,0,2666853962,1.2104,1.0954,1.1336,1.0215,38786.6,38795.81270332,10509.088,101887.0
1033,1645867800,0,0,2677487466,1.2391,1.0976,1.1626,0.9447,38780.8,38782.2,4150.341,47756.0
1034,1645869600,887,0,2679389520,1.2311,1.0966,1.1501,1.2402,38956.8,38959.47057451,5904.514,63247.0
1035,1645871400,0,0,2698294830,1.2267,1.0961,1.1561,1.0308,38983.1,38990.31804797,3478.592,42008.0
1036,1645873200,808,0,2703730567,1.2202,1.0938,1.1524,1.1015,38961.3,38961.48785209,6116.473,65217.0
1037,1645875000,1012,2885,2697199948,1.2017,1.096,1.1272,1.024,38921.0,38924.38161744,4020.301,45993.0
1038,1645876800,0,3218,2698041001,1.1935,1.0946,1.1209,0.9872,38798.1,38801.1,4207.244,49479.0
1039,1645878600,0,0,2699193749,1.1777,1.0952,1.096,1.2304,38977.3,38980.09981785,3436.547,40916.0
1040,1645880400,0,0,2717438253,1.1659,1.0984,1.0803,1.0931,39094.3,39096.9,6747.269,73609.0
1041,1645882200,74,0,2724627329,1.1673,1.095,1.0842,0.9908,39069.1,39069.2,3405.829,46361.0
1042,1645884000,0,0,2726106994,1.1687,1.0942,1.0864,0.8849,39105.3,39101.3,4158.78,47718.0
1043,1645885800,0,0,2730620856,1.1734,1.0927,1.0899,1.2116,39187.2,39192.2244016,7976.086,78595.0
1044,1645887600,37408,0,2730641222,1.1772,1.092,1.1048,1.0602,39231.1,39231.1,4569.074,56832.0
1045,1645889400,8360,0,2734230659,1.1786,1.0911,1.1101,0.9743,39192.0,39198.85672957,3462.945,45037.0
1046,1645891200,0,0,2732852409,1.1706,1.0932,1.1035,0.9576,39177.2,39174.71613035,3591.624,44023.0
1047,1645893000,0,0,2734100275,1.1631,1.0912,1.0951,1.0018,39129.2,39131.42059391,3630.87,44738.0
